NYC PARKS	MISDEMEANOR	27
U.S. PARK POLICE	MISDEMEANOR	34
N.Y. STATE POLICE	MISDEMEANOR	509
NEW YORK CITY SHERIFF OFFICE	MISDEMEANOR	48
N.Y. POLICE DEPT	MISDEMEANOR	1508695
POLICE DEPT NYC	MISDEMEANOR	2807
CONRAIL	MISDEMEANOR	5
SEA GATE POLICE DEPT	MISDEMEANOR	13
N.Y. HOUSING POLICE	MISDEMEANOR	181202
NYC DEPT ENVIRONMENTAL PROTECTION	MISDEMEANOR	3
NYS DEPT TAX AND FINANCE	MISDEMEANOR	28
HEALTH & HOSP CORP	MISDEMEANOR	1385
METRO NORTH	MISDEMEANOR	156
DEPT OF CORRECTIONS	MISDEMEANOR	28
LONG ISLAND RAILRD	MISDEMEANOR	54
STATN IS RAPID TRANS	MISDEMEANOR	27
AMTRACK	MISDEMEANOR	39
N.Y. TRANSIT POLICE	MISDEMEANOR	320
FIRE DEPT (FIRE MARSHAL)	MISDEMEANOR	22
PORT AUTHORITY	MISDEMEANOR	3637
N.Y. STATE PARKS	MISDEMEANOR	82
TRI-BORO BRDG TUNNL	MISDEMEANOR	1745
