DEPT OF CORRECTIONS	VIOLATION	6
PORT AUTHORITY	VIOLATION	86
N.Y. TRANSIT POLICE	VIOLATION	41
SEA GATE POLICE DEPT	VIOLATION	5
FIRE DEPT (FIRE MARSHAL)	VIOLATION	1
U.S. PARK POLICE	VIOLATION	1
N.Y. POLICE DEPT	VIOLATION	333988
LONG ISLAND RAILRD	VIOLATION	5
AMTRACK	VIOLATION	4
HEALTH & HOSP CORP	VIOLATION	119
METRO NORTH	VIOLATION	45
TRI-BORO BRDG TUNNL	VIOLATION	10
NYS DEPT TAX AND FINANCE	VIOLATION	3
N.Y. STATE PARKS	VIOLATION	4
POLICE DEPT NYC	VIOLATION	741
NYC PARKS	VIOLATION	2
N.Y. HOUSING POLICE	VIOLATION	40259
N.Y. STATE POLICE	VIOLATION	62
